,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
조코드명,상품코드,상품등록일,상품명▲,매입처,"파트너포탈
입력정보",매입단가,판매단가,발주,,,,,,영업점,,,,,"발주
확정일자","발주
확정자","운영재고
관리대상",이미지여부,상품분류,발주비고,
,,,,,,,,수량,단위,단위수량,총수량,총금액,최근정보,기간판매량,운영재고,직전한달판매량,총현재고,수신예정수량,,,,,,,
디지털,8800923121255,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA20/2TB/화이트,디피이,정상(EA/1),"114,750 ","135,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121279,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA40/4TB/그린,디피이,정상(EA/1),"165,750 ","195,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121286,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA40/4TB/레드,디피이,정상(EA/1),"165,750 ","195,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121262,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA40/4TB/블랙,디피이,정상(EA/1),"165,750 ","195,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121293,2023-04-24,[도시바] TOSHIBA CANVIO ADVANCE GEN2/HDTCA40/4TB/화이트,디피이,정상(EA/1),"165,750 ","195,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121330,2023-04-24,[도시바] TOSHIBA CANVIO BASICS/HDTB405/500GB,디피이,정상(EA/1),"41,650 ","49,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121156,2023-04-24,[도시바] TOSHIBA CANVIO BASICS/HDTB410/1TB,디피이,정상(EA/1),"75,650 ","89,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121163,2023-04-24,[도시바] TOSHIBA CANVIO BASICS/HDTB420/2TB,디피이,정상(EA/1),"109,650 ","129,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121170,2023-04-24,[도시바] TOSHIBA CANVIO BASICS/HDTB440/4TB,디피이,정상(EA/1),"160,650 ","189,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
디지털,8800923121200,2023-04-24,[도시바] TOSHIBA CANVIO FLEX/HDTX110/1TB,디피이,정상(EA/1),"84,150 ","99,000 ",0 ,EA(1),1 ,0 ,0 , /  [],0 ,0 ,0 ,0 ,0 ,,,N,N,HDD(하드디스크드라이브), ,
